------------------------------------------------------------------------------
  TITOLO:         LISTA FUNZIONI MANUALI MACCHINA
------------------------------------------------------------------------------
  PROGETTO:       
------------------------------------------------------------------------------


N° FUNZIONE        DESCRIZIONE FUNZIONE

FUNZ_MAN00         Prova Lampade e cicalino
FUNZ_MAN01         Riferimento Assi
FUNZ_MAN02         Apri/Chiudi Riparo Anteriore

FUNZ_MAN05         START STRINGA

FUNZ_MAN06         Posizione di Riposo

FUNZ_MAN07         JOG- / JOG+ ASSE W
FUNZ_MAN10         JOG- / JOG+ ASSE X
FUNZ_MAN11         JOG- / JOG+ ASSE Y
FUNZ_MAN12         JOG- / JOG+ ASSE Z
FUNZ_MAN13         JOG- / JOG+ ASSE B
FUNZ_MAN14         JOG- / JOG+ ASSE C

FUNZ_MAN15         ROTAZIONE MANDRINO
FUNZ_MAN16         BATTUTA DI PRECISIONE
FUNZ_MAN17         REFRIGERANTE UTENSILE LUBRICA NORMALE
FUNZ_MAN18         
FUNZ_MAN19         Fine/Inizio cambio utensile manuale assistito
FUNZ_MAN20         Sbloccaggio Utensile su mandrino
FUNZ_MAN21         Prelievo/Deposito Utensile 1
FUNZ_MAN22         Prelievo/Deposito Utensile 2
FUNZ_MAN23         Prelievo/Deposito Utensile 3
FUNZ_MAN24         Prelievo/Deposito Utensile 4
FUNZ_MAN25         Prelievo/Deposito Utensile 5
FUNZ_MAN26         Prelievo/Deposito Utensile 6
FUNZ_MAN27         Prelievo/Deposito Utensile 7
FUNZ_MAN28         Prelievo/Deposito Utensile 8
FUNZ_MAN29         Prelievo/Deposito Utensile 9
FUNZ_MAN30         Prelievo/Deposito Utensile 10
FUNZ_MAN31         Prelievo/Deposito Utensile 11
FUNZ_MAN32         Prelievo/Deposito Utensile 12

FUNZ_MAN33         Apri/Chiudi Tutte le morse
FUNZ_MAN37         Apri/Chiudi Morsa 10
FUNZ_MAN38         Apri/Chiudi Morsa 11
FUNZ_MAN39         Apri/Chiudi Morsa 12
FUNZ_MAN40         Apri/Chiudi Morsa 13
FUNZ_MAN41         Apri/Chiudi Morsa 14
FUNZ_MAN42         Apri/Chiudi Morsa 15

FUNZ_MAN47         Disins./Inser. Rilevatore Morse Asse X
FUNZ_MAN48         Discesa/Salita Battuta SX1        
FUNZ_MAN49         Discesa/Salita Battuta DX4
FUNZ_MAN50         Ingrassaggio pattini

FUNZ_MAN54         Jog- / Jog+ Morsa n.10 oppure Blocca/Sblocca Morsa n.10
FUNZ_MAN55         Jog- / Jog+ Morsa n.11 oppure Blocca/Sblocca Morsa n.11
FUNZ_MAN56         Jog- / Jog+ Morsa n.12 oppure Blocca/Sblocca Morsa n.12
FUNZ_MAN57         Jog- / Jog+ Morsa n.13 oppure Blocca/Sblocca Morsa n.13
FUNZ_MAN58         Jog- / Jog+ Morsa n.14 oppure Blocca/Sblocca Morsa n.14
FUNZ_MAN59         Jog- / Jog+ Morsa n.15 oppure Blocca/Sblocca Morsa n.15

FUNZ_MAN64         Indietro/Avanti Tavola

FUNZ_MAN69         Disins./Inser. Trascinatore Morse Asse X

FUNZ_MAN74         Inc- / Inc+ Morsa n.10
FUNZ_MAN75         Inc- / Inc+ Morsa n.11
FUNZ_MAN76         Inc- / Inc+ Morsa n.12
FUNZ_MAN77         Inc- / Inc+ Morsa n.13
FUNZ_MAN78         Inc- / Inc+ Morsa n.14
FUNZ_MAN79         Inc- / Inc+ Morsa n.15

FUNZ_MAN83         OFF/ON Nastro trasportatore trucioli

FUNZ_MAN84         OFF/ON Motore Aspiratore

FUNZ_MAN88         INC- / INC+ ASSE P
FUNZ_MAN89         INC- / INC+ ASSE H
FUNZ_MAN90         INC- / INC+ ASSE X
FUNZ_MAN91         INC- / INC+ ASSE Y
FUNZ_MAN92         INC- / INC+ ASSE Z
FUNZ_MAN93         INC- / INC+ ASSE B
FUNZ_MAN94         INC- / INC+ ASSE C
FUNZ_MAN95         INC- / INC+ ASSE W

FUNZ_MAN97         Sbloccaggio Diretto Utensile

FUNZ_MAN99         Abilitazione movimenti manuali liberi

FUNZ_MAN100        Indietro/Avanti Visiera bassa
FUNZ_MAN101        Apri/Chiudi Visiera alta

FUNZ_MAN160        RIPRISTINA ASSI CONDIVISI

FUNZ_MAN180        ABILITAZIONE MANDRINO (COL VOLANTINO)
FUNZ_MAN181        ABILITAZIONE VOLANTINO SU ASSE X (x 1) 
FUNZ_MAN182        ABILITAZIONE VOLANTINO SU ASSE X (x 10)
FUNZ_MAN183        ABILITAZIONE VOLANTINO SU ASSE X (x 20)
FUNZ_MAN184        ABILITAZIONE VOLANTINO SU ASSE Y (x 1) 
FUNZ_MAN185        ABILITAZIONE VOLANTINO SU ASSE Y (x 10)
FUNZ_MAN186        ABILITAZIONE VOLANTINO SU ASSE Y (x 20)
FUNZ_MAN187        ABILITAZIONE VOLANTINO SU ASSE Z (x 1) 
FUNZ_MAN188        ABILITAZIONE VOLANTINO SU ASSE Z (x 10)
FUNZ_MAN189        ABILITAZIONE VOLANTINO SU ASSE Z (x 20)
FUNZ_MAN190        ABILITAZIONE VOLANTINO SU ASSE B (x 1) 
FUNZ_MAN191        ABILITAZIONE VOLANTINO SU ASSE B (x 10)
FUNZ_MAN192        ABILITAZIONE VOLANTINO SU ASSE B (x 20)
FUNZ_MAN193        ABILITAZIONE VOLANTINO SU ASSE C (x 1) 
FUNZ_MAN194        ABILITAZIONE VOLANTINO SU ASSE C (x 10)
FUNZ_MAN195        ABILITAZIONE VOLANTINO SU ASSE C (x 20)
